image_id,true_label,m1_prob_benign,m1_prob_malignant,m2_prob_akiec,m2_prob_bcc,m2_prob_bkl,m2_prob_df,m2_prob_mel,m2_prob_nv,m2_prob_vasc,m2_prob_benign_sum,m2_prob_malignant_sum
ISIC_0024511,akiec,0.8007155656814575,0.19928443431854248,0.02125067077577114,0.2312130331993103,0.16999006271362305,0.002533269114792347,0.08632466197013855,0.4864736795425415,0.0022147090639919043,0.6612117204349488,0.33878836594522
ISIC_0024539,akiec,0.5638830661773682,0.43611693382263184,0.095303975045681,0.4006442725658417,0.45912352204322815,0.00040887307841330767,0.01142287626862526,0.015243005007505417,0.017853526398539543,0.4926289265276864,0.5073711238801479
ISIC_0024562,akiec,0.35845768451690674,0.6415423154830933,0.008081833831965923,0.1422160267829895,0.8048955798149109,0.0011609363136813045,0.0017908959416672587,0.041791610419750214,6.312084587989375e-05,0.8479112473942223,0.15208875655662268
ISIC_0024579,akiec,0.6716822981834412,0.32831770181655884,0.9790549278259277,0.002281922847032547,0.012312928214669228,0.0010631446493789554,0.002003541449084878,0.0030912968795746565,0.00019231621990911663,0.016659685963531956,0.9833403921220452
ISIC_0024654,akiec,0.6697481870651245,0.3302518129348755,0.0009988142410293221,0.003639994189143181,0.8953604698181152,0.003454294754192233,0.0872407928109169,0.009207922033965588,9.779497486306354e-05,0.9081204815811361,0.0918796012410894
ISIC_0024771,akiec,0.5435299277305603,0.4564700722694397,0.5987910628318787,0.39717045426368713,0.003347081830725074,0.00013186907744966447,5.7094875955954194e-05,0.00043724660645239055,6.509069498861209e-05,0.003981288209615741,0.9960186119715218
ISIC_0024800,akiec,0.31421005725860596,0.685789942741394,0.000741373747587204,1.4734727301402017e-05,0.5486836433410645,2.4587045118096285e-05,0.23277723789215088,0.2177533358335495,5.121987669554073e-06,0.7664666882074016,0.23353334636703948
ISIC_0024913,akiec,0.27739107608795166,0.7226089239120483,0.7831590175628662,0.1614266037940979,0.05314849689602852,3.323933560750447e-05,0.0008813021122477949,0.0009758708765730262,0.0003754247445613146,0.054533031852770364,0.9454669234692119
ISIC_0025029,akiec,0.7779780477285385,0.2220219522714615,0.051136430352926254,0.6633397936820984,0.13133269548416138,0.0034091307315975428,0.05246461555361748,0.02596334181725979,0.07235391438007355,0.23305908241309226,0.7669408395886421
ISIC_0025780,akiec,0.5646395683288574,0.4353604316711426,0.7974053025245667,0.04190730303525925,0.11822710931301117,0.0006722536054439843,0.019882813096046448,0.021805541589856148,9.958168811863288e-05,0.14080448619642993,0.8591954186558723
ISIC_0025811,akiec,0.2734225392341614,0.7265774607658386,0.992260754108429,0.004154026508331299,0.002431390341371298,0.00021670979913324118,7.473764708265662e-05,0.0008310865960083902,3.132567508146167e-05,0.003510512411594391,0.9964895182638429
ISIC_0026083,akiec,0.5951165854930878,0.40488341450691223,0.6495301723480225,0.2620600461959839,0.009561488404870033,8.056419028434902e-05,0.0003894804685842246,0.07837222516536713,6.039502750354586e-06,0.08802031726327186,0.9119796990125906
ISIC_0026132,akiec,0.6363125443458557,0.3636874556541443,0.10539018362760544,0.5390058755874634,0.31018051505088806,0.003428427269682288,0.020986298099160194,0.012717743404209614,0.008290957659482956,0.3346176433842629,0.665382357314229
ISIC_0026171,akiec,0.06976878643035889,0.9302312135696411,0.0017836348852142692,0.00019487051758915186,0.9372230172157288,4.616971182258567e-06,0.05976329371333122,0.0010283704614266753,2.2239510144572705e-06,0.9382582285993522,0.061741799116134644
ISIC_0026212,akiec,0.005500674247741699,0.9944993257522583,0.9362493753433228,0.01505408063530922,0.039886657148599625,0.00022016478760633618,0.006141044199466705,0.0013491014251485467,0.0010995239717885852,0.04255544733314309,0.9574445001780987
ISIC_0026388,akiec,0.5641894042491913,0.4358105957508087,0.6339790225028992,0.021288279443979263,0.28434401750564575,0.0008017268846742809,0.026333976536989212,0.01904677413403988,0.014206157997250557,0.31839867652161047,0.6816012784838676
ISIC_0026411,akiec,0.006246507167816162,0.9937534928321838,0.595718502998352,0.01887379214167595,0.21484674513339996,0.001217779004946351,0.011519713327288628,0.15745891630649567,0.0003644960524979979,0.37388793649734,0.6261120084673166
ISIC_0026522,akiec,0.5309229791164398,0.4690770208835602,0.09901554137468338,0.8672462105751038,0.028736665844917297,2.2340112991514616e-05,0.004344126675277948,0.000629951769951731,5.189882358536124e-06,0.02939414761021908,0.9706058786250651
ISIC_0026625,akiec,0.22777998447418213,0.7722200155258179,0.8366597890853882,0.0012811372289434075,0.06753364950418472,0.001529195811599493,0.08193562179803848,0.009282279759645462,0.0017783349612727761,0.08012346003670245,0.9198765481123701
ISIC_0026650,akiec,0.7974720448255539,0.2025279551744461,0.31896087527275085,0.02313981205224991,0.36025410890579224,0.060294635593891144,0.12296588718891144,0.10797667503356934,0.006408005021512508,0.5349334245547652,0.4650665745139122
ISIC_0027334,akiec,0.8967714458703995,0.10322855412960052,0.024001136422157288,0.7550064325332642,0.04839940741658211,0.11047877371311188,0.0034185927361249924,0.057783495634794235,0.0009121070033870637,0.21757378376787528,0.7824261616915464
ISIC_0027447,akiec,0.211009681224823,0.788990318775177,0.04043493792414665,0.9546298980712891,0.00020900164963677526,0.0012608238030225039,0.00023061198589857668,0.003226772416383028,7.857061063987203e-06,0.004704454930106294,0.9952954479813343
ISIC_0027452,akiec,0.7060533761978149,0.29394662380218506,0.544930100440979,0.24954086542129517,0.030134188011288643,0.00397265562787652,0.09453430771827698,0.07655537873506546,0.00033262098440900445,0.11099484335863963,0.8890052735805511
ISIC_0027577,akiec,0.34065020084381104,0.659349799156189,0.02120964229106903,0.0004449626139830798,0.9512069821357727,0.00018365828145761043,0.008723730221390724,0.018180644139647484,5.037225128035061e-05,0.9696216568081581,0.030378335126442835
ISIC_0027588,akiec,0.06607329845428467,0.9339267015457153,0.04502112418413162,0.0355585552752018,0.5378898978233337,0.011270732618868351,0.0027039041742682457,0.32538551092147827,0.04217023402452469,0.916716375388205,0.08328358363360167
ISIC_0027668,akiec,0.9479356296360493,0.05206437036395073,0.05139219015836716,0.14774779975414276,0.45567557215690613,0.0006305394344963133,0.03965458273887634,0.30463695526123047,0.00026235971017740667,0.7612054265628103,0.23879457265138626
ISIC_0027708,akiec,0.3465481996536255,0.6534518003463745,0.6512517929077148,0.0666876956820488,0.24372617900371552,0.0008260000613518059,0.032468829303979874,0.0035150782205164433,0.0015243745874613523,0.24959163187304512,0.7504083178937435
ISIC_0027753,akiec,0.5010386407375336,0.49896135926246643,0.06407956033945084,0.002639622427523136,0.10109666734933853,0.003746738424524665,0.7664532661437988,0.06092104688286781,0.001063079689629376,0.16682753234636039,0.8331724489107728
ISIC_0027767,akiec,0.8953502029180527,0.10464979708194733,0.016476480290293694,0.08287449926137924,0.13750338554382324,0.011232509277760983,0.41312289237976074,0.3304370939731598,0.008353142999112606,0.4875261317938566,0.5124738719314337
ISIC_0027802,akiec,0.6792513728141785,0.32074862718582153,0.9948697090148926,9.945788406184874e-06,0.0023827417753636837,2.240760477434378e-05,0.0017009810544550419,0.0010068098781630397,7.503330834879307e-06,0.0034194625891359465,0.9965806358577538
ISIC_0027930,akiec,0.6239525079727173,0.3760474920272827,0.010632370598614216,0.8827040791511536,0.05348171666264534,5.681181573891081e-05,0.0016479409532621503,0.05131486430764198,0.00016214291099458933,0.10501553569702082,0.8949843907030299
ISIC_0028381,akiec,0.05477261543273926,0.9452273845672607,0.32510438561439514,0.008500740863382816,0.11080628633499146,0.058610428124666214,0.37131547927856445,0.12445235997438431,0.0012102242326363921,0.29507929866667837,0.7049206057563424
ISIC_0028393,akiec,0.21546489000320435,0.7845351099967957,0.9355588555335999,0.0010777002898976207,0.05965111777186394,5.15465160333406e-07,0.0013569975271821022,0.002353973686695099,9.76036858446605e-07,0.062006582960577816,0.9379935533506796
ISIC_0028517,akiec,0.35135161876678467,0.6486483812332153,0.2545030117034912,0.4173634350299835,0.02111440896987915,0.30121102929115295,0.0010176567593589425,0.0010780519805848598,0.0037123332731425762,0.32711582351475954,0.6728841034928337
ISIC_0028820,akiec,0.5657142996788025,0.4342857003211975,0.44252097606658936,0.01101765502244234,0.1796119511127472,0.03457293286919594,0.2491961121559143,0.08080092072486877,0.002279458800330758,0.29726526350714266,0.702734743244946
ISIC_0029002,akiec,0.696173757314682,0.303826242685318,0.004825302865356207,0.9850181937217712,0.007274297997355461,0.00011136496323160827,0.002519169356673956,0.0002277863386552781,2.3879258151282556e-05,0.00763732855739363,0.9923626659438014
